,,,
,External Playlist Signal — Making Sense of the Noise,,
,"Generated 2026-07-11 from SC-EXTERNAL-PLAYLISTS.csv (2268-track full scrape universe, snapshot run 2026-07-10/11)",,
,What this is,,
,"3,449 track-playlist pairs: every case found of one of your tracks sitting inside someone else's SoundCloud",,
,"playlist. SoundCloud never notifies you of this, so it's the closest thing to a 'someone chose my song'",,
,signal available. Most of it is noise. This workbook sorts the signal from it.,,
,Method,,
,Every row was scored on two axes: how tightly curated the playlist is (playlist_track_count) and whether,,
,the curator has a real audience (owner_followers_count). A third check — what share of that playlist IS,,
,your tracks — caught something the two-axis model alone would have missed: 3 playlists with 200+ tracks,,
,"turned out to be superfans who mirrored your ENTIRE catalog into their own playlist, not generic dumps.",,
,"Without that check, 1,146 rows (a third of the dataset) would have been wrongly written off as noise.",,
,Tiers,,
,,,
,Tier,Volume,Definition
,Catalog Mirror (Superfan),"3 playlists / 1,146 rows",Playlist has 100+ tracks AND >=50% of them are yours. A fan cloned your whole discography. Strongest signal in the dataset — see 'Catalog Mirrors' tab.
,Priority Curator,44 rows / 27 playlists,"Small playlist (<=30 tracks) + curator has a real audience (50+ followers). Genuine, deliberate pick by someone with reach. See 'Priority Curators' tab."
,Repeat Curator,139 owners (overlay tag),Same person added your tracks to 2+ different playlists of theirs. Recurrence is itself a signal regardless of size/followers. See 'Repeat Curators' tab.
,Niche/Emerging Curator,809 rows,"Small playlist, but curator has few/no followers. Real curation, just no audience yet. Included in Full Data, not broken out separately."
,Mid-size Playlist,"1,202 rows",31-199 tracks. Ambiguous middle — could be real or semi-algorithmic. Included in Full Data only.
,Generic Dump (low signal),248 rows / 199 playlists,200+ track playlist where your tracks are a small fraction of a big multi-artist mix. Closest thing to real noise here. See 'Dump Playlists (Ignore)' tab.
,,,
,,,
,Headline numbers,,
,"• 1,341 distinct tracks of yours appear in >=1 external playlist, across 1,454 playlists and 1,171 curators.",,
,"• 3 people mirrored your entire catalog as their own playlist (Angus / angusn-s, Fred Anderson, 9uzzy).",,
,"• Angus (angusn-s, 54 followers) is your most engaged single fan by this data: the catalog mirror PLUS 9 separate mood/genre playlists (612 track-adds total across 10 playlists) — everyone else tops out under 30.",,
,"• Only 44 rows (1.3%) meet the strict 'small curated playlist + real audience' bar — that's the realistic outreach shortlist, not the 3,449.",,
,"• Reposts are not a usable signal here: only 43 of 3,449 rows (1.2%) have any. Likes are only slightly better (1,718/3,449 non-zero, mostly 0-1).",,
,,,
,Files this came from,,
,"• SC-EXTERNAL-PLAYLISTS.csv — current snapshot (this workbook's source), full-overwrite each scraper run.",,
,"• SC-EXTERNAL-PLAYLIST-LOG.csv — cumulative history, append-only, first_seen_date per (track, playlist) pair. Its header was out of sync with 3,455 of 3,461 rows (schema drift from mid-project field additions) — repaired in place today; original preserved as SC-EXTERNAL-PLAYLIST-LOG.csv.bak-preheaderfix.",,
