ep_title	extracted_song_name	lyrics_id_guess	lyrics_title_guess	confidence	YOUR_CONFIRMED_LYRICS_ID
A Man's A Man for A' That - VOL. 01 - Revolution Forever	A Man's A Man for A' That	L-233-MAMA	A Man's a Man and A' That	MEDIUM	L-233-MAMA
Ain't Doing Bad Doing Nothing ⭐︎ Public Domain Vol. 02 EPx10 ⭐︎ FLOWsutra Wet JAZZ	Ain't Doing Bad Doing Nothing ⭐︎ Public Domain	L-013-AINT	Ain't Doing Bad Doing Nothing	MEDIUM	L-013-AINT
All I Know • Shades of Fools (It's the Why) • KNOWsutra EPx5 Vol. 02	All I Know • Shades of Fools (It's the Why)	L-235-ALIX	Shades of Fools (All I Know)	MEDIUM	L-235-ALIX
Atheist Tango EP x9 VOL. 1 ☰ Waldo's Burlesque Tales of Truth	Atheist Tango	L-178-ATHE	The Atheist Tango	MEDIUM	L-178-ATHE
But(t) How Can You? GROWsutra (Dare to Care) EPx10	But(t) How Can You? (Dare to Care)	L-035-BUTT	But(t) How Can You?	MEDIUM	L-035-BUTT
But(t) How you Kids Learn Now? EPx9 VOL. 01	But(t) How you Kids Learn Now?	L-082-HOWK	How Do Kids Learn Now?	MEDIUM	L-082-HOWK
Crimina/els EP	Crimina/els EP	L-044-CRIM	Criminals	MEDIUM	L-044-CRIM
Darling EP	Darling EP	L-046-DARL	Darling	MEDIUM	L-046-DARL
Jacques Brel : French EPx9 : GLOWsutra Burlesque Indie Blues Gratitude POET(ry)	Jacques Brel : French	L-092-JACQ	Jacques Brel	MEDIUM	L-092-JACQ
Joseph Campbell's Truth Metaphors ☷ KNOWsutra EPx12	Joseph Campbell's Truth Metaphors ☷	L-123-META	Metaphors' Edge (Joseph Campbell's song)	MEDIUM	L-123-META
Kids Are Asking ✪ KNOWsutra But(t) Why EPx3	Kids Are Asking ✪ But(t) Why	L-097-KIDS	Kids Are Asking	MEDIUM	L-097-KIDS
MAMA-B-C (Make America Mine Achtung Encore) • BLOWsutra MAxA Series EPx3	MAMA-B-C (Make America Mine Achtung Encore) • MAxA Series	L-273-MAXX	MAMA (Make America Mine Achtung)	MEDIUM	L-273-MAXX
MAMA-B-C (Make America Mine Achtung) • BLOWsutra MAxA Series EPx8	MAMA-B-C (Make America Mine Achtung) • MAxA Series	L-273-MAXX	MAMA (Make America Mine Achtung)	MEDIUM	L-273-MAXX
MASA (Make America Safe Again) ✮ EPX12 ✮ QUACKsutra Psychedelic BANJO	MASA (Make America Safe Again) ✮	L-275-MAM3	MAWA (Make America Woke Again)	MEDIUM	L-275-MAM3
Make Amurica Gulag Again ☭ BLOWsutra DUB EPx25	Make Amurica Gulag Again ☭ DUB	L-271-MAAM	Make Amurica Gulag Again (MAGA)	MEDIUM	L-271-MAAM
No, I'm Not Being Political 🇺🇸 KNOWsutra Indie Dub EPx15	No, I'm Not Being Political 🇺🇸 Indie Dub	L-129-NOI5	No, I'm Not Being Political (CIRCA 2025)	MEDIUM	L-129-NOI5
Okey Dokey, No It's Not Ξ EPx5 Ξ LOFIsutra	Okey Dokey, No It's Not Ξ	L-132-OKIE	Okie Dokie (No It's Not)	MEDIUM	L-132-OKIE
Prickly Peaches DUBsutra EPx3	Prickly Peaches	L-310-WEPR	Wet (Prickly) Peaches vol.2	MEDIUM	L-310-WEPR
Question di Kingdom ✰ Ragga DUBsutra EPx10	Question di Kingdom ✰ Ragga	L-149-QUES	Question Di Kingdom	MEDIUM	L-149-QUES
Rainbows in the Clouds • GLOWsutra Dub LoFi Blues	Rainbows in the Clouds • Dub LoFi Blues	L-152-RAIN	Rainbows in the Clouds	MEDIUM	L-152-RAIN
Reason over Reverence (No need for God) ☷ KNOWsutra EPx6	Reason over Reverence (No need for God) ☷	L-154-REAS	Reason Over Reverence	MEDIUM	L-154-REAS
Rise Up, You Naked Peoples (Freedom Rings) ☆ BLOWsutra Victor Hugo Revolution Song	Rise Up, You Naked Peoples (Freedom Rings) ☆ Victor Hugo Revolution Song	L-294-RIUP	Rise Up, You Naked Peoples (Freedom Rings)	MEDIUM	L-294-RIUP
Second Hand Smoke (of) Arrogant Hearts - BLOWsutra EGO Therapy EPx6	Second Hand Smoke (of) Arrogant Hearts - EGO Therapy	L-015-ARRO	Arrogant Hearts (Second hand Smoke)	MEDIUM	L-015-ARRO
Secret de Polichinelle 🎪 French EPx10 🎪 KNOWsutra Psychedelic Gipsy Circus	Secret de Polichinelle 🎪 French	L-158-SECR	Secret De Polichinelle	MEDIUM	L-158-SECR
Serial BLOWerrr ✰ RAGGA DUBsutra	Serial BLOWerrr ✰ RAGGA	L-296-SEBL	Serial BLOWerrr	MEDIUM	L-296-SEBL
Shades of Fools EPx9	Shades of Fools	L-161-SHAD	Shady Fools	MEDIUM	L-161-SHAD
So, What Is Racism? KNOWsutra Gone Banana EPx17	So, What Is Racism? Gone Banana	L-166-SOWH	So, What Is Racism?	MEDIUM	L-166-SOWH
Tell The Truth (encore) KNOWsutra EPx9 Vol. 04	Tell The Truth (encore)	L-175-TELL	Tell The Truth	MEDIUM	L-175-TELL
The Echo Song ☭ Russian EPx3 ☭ Gipsy BLOWsutra LoFi Blues (Vladimir Vysotsky Cover)	The Echo Song ☭ Russian	L-182-ECHO	The Echo Song	MEDIUM	L-182-ECHO
There's No Prayer Like Desire • KNOWsutra But(t) Why EPx4	There's No Prayer Like Desire • But(t) Why	L-194-THER	There's No Prayer Like Desire	MEDIUM	L-194-THER
They Muddy the Waters (aka Nietzsche's Gift) EPx5 VOL. 04	They Muddy the Waters (aka Nietzsche's Gift)	L-126-NIET	Nietzsche's Gift (Muddy Waters)	MEDIUM	L-126-NIET
Up a San Francisco Hill • Bananasutra Heart Beats	Up a San Francisco Hill • Heart Beats	L-307-UPSA	Up a San Francisco Hill	MEDIUM	L-307-UPSA
Waldo's Fascist Tango EPx3 VOL. 1 • Burlesque JAZZ	Waldo's Fascist Tango	L-210-WALD	Waldo's Atheist Tango	MEDIUM	L-210-WALD
Why We Can't Be Brave? ☷ GROWsutra (Censored) Cello EPx8	Why We Can't Be Brave? ☷ (Censored) Cello	L-225-WWCB	Why We Can't Be Brave?	MEDIUM	L-225-WWCB
Zero Sum (Zero Sean) • GROWsutra (Dare to Care) EPx22	Zero Sum (Zero Sean) • (Dare to Care)	L-231-ZERO	Zero Sum (Zero Sean)	MEDIUM	L-231-ZERO
All the -Isms | BLOWsutra EPx7	All the -Isms |	lookup	lookup	NO-MATCH	lookup
An American in Paris (Public Domain Lyrics) 🎙️ SHOWsutra Classic Retro Musical REMAKE	An American in Paris (Public Domain Lyrics) 🎙️ Classic Retro Musical REMAKE	lookup	lookup	NO-MATCH	lookup
